Iron-Giant Crusher-X 5e75a5b
Thunderbird Cyclone-D acf10c1
Beast-Mode Thunderbolt-G 9de9a9f
Silverado Thunderstorm 2e1a1d7
Blue-Thunder Tornado e17b0c4
Black-Knight Storm-Chaser 3ba4f68
Iron-Outlaw Thundercracker b6b13c6
Bigfoot Earthquake-M 2a68d1e
Grave-Digger Twister dca40f5
Dragon-Slayer Cyclone-R 0bc719b
Bulldozer Avalanche-H 755f6c5
Bounty-Hunter Thunderbolt 88e5d87
War-Wizard Thunderstorm e2ba266
El-Toro-Loco Thundercracker 36b46af
Predator Storm-Chaser d55bc2b
Raminator Tornado-Z b2467f1
Sudden Earthquake 9ed3038
Stone Crusher Twister 430ccce
Monster-Mutt Cyclone-C 7a2e2e2
Maximum-Destruction Thunderbolt-D 13f39d7
